Date,Name,Year,Letterboxd URI
2025-01-02,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4
2025-01-02,Princes and Princesses,2000,https://boxd.it/3eE
2025-01-02,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i
2025-01-02,Redline,2009,https://boxd.it/2pQ0
2025-01-02,Dou kyu sei – Classmates,2016,https://boxd.it/cW8g
2025-01-02,In This Corner of the World,2016,https://boxd.it/d9kY
2025-01-02,The Breadwinner,2017,https://boxd.it/frLs
2025-01-02,Robot Dreams,2023,https://boxd.it/vBZm
2025-01-02,Tekkonkinkreet,2006,https://boxd.it/1Pui
2025-01-02,Flow,2024,https://boxd.it/v1Ei
2025-01-02,Kizumonogatari Part 2: Nekketsu,2016,https://boxd.it/cq8o
2025-01-02,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S
2025-01-02,The Summit of the Gods,2021,https://boxd.it/qFIu
2025-01-02,Waltz with Bashir,2008,https://boxd.it/1ZFA
2025-01-02,Tower,2016,https://boxd.it/dg60
2025-01-02,Marona's Fantastic Tale,2019,https://boxd.it/kQVi
2025-01-02,Persona 3 the Movie: #4 Winter of Rebirth,2016,https://boxd.it/cW94
2025-01-02,The Triplets of Belleville,2003,https://boxd.it/1Y6Y
2025-01-02,Porco Rosso,1992,https://boxd.it/1Tp2
2025-01-02,Liz and the Blue Bird,2018,https://boxd.it/hksW
2025-01-02,The Castle of Cagliostro,1979,https://boxd.it/1Mn4
2025-01-02,A Town Called Panic,2009,https://boxd.it/11ki
2025-01-02,Tux and Fanny,2019,https://boxd.it/m0ds
2025-01-02,The Pied Piper,1986,https://boxd.it/2Sek
2025-01-02,The Adventures of Prince Achmed,1926,https://boxd.it/1FeY
2025-01-02,Minority Report,2002,https://boxd.it/2aWi
2025-01-02,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
